activo,franja,estrat,periodo,n,pnlR,win,PF,DD
XAUUSDm,00-02,FVG,P1_24h2-25h1,285,-200.0,9.8,0.22,-202.0
XAUUSDm,00-02,BREAK24,P1_24h2-25h1,566,47.0,35.9,1.13,-33.0
XAUUSDm,00-02,BREAK48,P1_24h2-25h1,424,8.0,33.7,1.03,-30.0
XAUUSDm,00-02,RETEST24,P1_24h2-25h1,603,6.0,33.3,1.02,-41.0
XAUUSDm,00-02,RETEST48,P1_24h2-25h1,451,10.0,33.7,1.03,-30.0
XAUUSDm,00-02,MOMEMA,P1_24h2-25h1,958,107.0,37.0,1.18,-57.0
XAUUSDm,00-02,EMACROSS,P1_24h2-25h1,139,20.0,38.1,1.23,-15.0
XAUUSDm,00-02,RSI2,P1_24h2-25h1,573,-37.0,30.9,0.91,-79.0
XAUUSDm,00-02,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,00-02,VWAP,P1_24h2-25h1,693,73.0,36.8,1.17,-52.0
XAUUSDm,00-02,BBREV,P1_24h2-25h1,734,29.0,34.5,1.06,-23.0
XAUUSDm,02-04,FVG,P1_24h2-25h1,203,-107.0,15.3,0.37,-109.0
XAUUSDm,02-04,BREAK24,P1_24h2-25h1,299,78.0,41.8,1.45,-13.0
XAUUSDm,02-04,BREAK48,P1_24h2-25h1,234,66.0,42.3,1.5,-10.0
XAUUSDm,02-04,RETEST24,P1_24h2-25h1,366,-29.0,30.6,0.89,-51.0
XAUUSDm,02-04,RETEST48,P1_24h2-25h1,301,-13.0,31.9,0.94,-42.0
XAUUSDm,02-04,MOMEMA,P1_24h2-25h1,703,118.0,38.5,1.28,-24.0
XAUUSDm,02-04,EMACROSS,P1_24h2-25h1,90,14.0,37.8,1.26,-8.0
XAUUSDm,02-04,RSI2,P1_24h2-25h1,319,-37.0,29.2,0.83,-57.0
XAUUSDm,02-04,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,02-04,VWAP,P1_24h2-25h1,243,-10.0,31.7,0.94,-34.0
XAUUSDm,02-04,BBREV,P1_24h2-25h1,397,-41.0,29.7,0.85,-52.0
XAUUSDm,04-06,FVG,P1_24h2-25h1,235,-169.0,9.4,0.21,-169.0
XAUUSDm,04-06,BREAK24,P1_24h2-25h1,397,42.0,36.8,1.17,-21.0
XAUUSDm,04-06,BREAK48,P1_24h2-25h1,232,33.0,37.9,1.23,-11.0
XAUUSDm,04-06,RETEST24,P1_24h2-25h1,458,-92.0,26.4,0.72,-95.0
XAUUSDm,04-06,RETEST48,P1_24h2-25h1,292,-46.0,28.1,0.78,-48.0
XAUUSDm,04-06,MOMEMA,P1_24h2-25h1,762,85.0,36.9,1.18,-26.0
XAUUSDm,04-06,EMACROSS,P1_24h2-25h1,84,27.0,44.0,1.57,-9.0
XAUUSDm,04-06,RSI2,P1_24h2-25h1,416,-15.0,32.0,0.95,-41.0
XAUUSDm,04-06,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,04-06,VWAP,P1_24h2-25h1,184,15.0,35.9,1.13,-13.0
XAUUSDm,04-06,BBREV,P1_24h2-25h1,558,-38.0,30.8,0.9,-44.0
XAUUSDm,06-08,FVG,P1_24h2-25h1,283,-194.0,10.2,0.23,-197.0
XAUUSDm,06-08,BREAK24,P1_24h2-25h1,429,21.0,34.7,1.08,-20.0
XAUUSDm,06-08,BREAK48,P1_24h2-25h1,330,7.0,33.6,1.03,-20.0
XAUUSDm,06-08,RETEST24,P1_24h2-25h1,469,-20.0,31.8,0.94,-30.0
XAUUSDm,06-08,RETEST48,P1_24h2-25h1,352,-17.0,31.5,0.93,-24.0
XAUUSDm,06-08,MOMEMA,P1_24h2-25h1,855,70.0,35.8,1.13,-26.0
XAUUSDm,06-08,EMACROSS,P1_24h2-25h1,118,-30.0,24.6,0.66,-38.0
XAUUSDm,06-08,RSI2,P1_24h2-25h1,457,-8.0,32.6,0.97,-38.0
XAUUSDm,06-08,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,06-08,VWAP,P1_24h2-25h1,231,43.0,39.4,1.31,-13.0
XAUUSDm,06-08,BBREV,P1_24h2-25h1,553,4.0,33.5,1.01,-28.0
XAUUSDm,08-10,FVG,P1_24h2-25h1,222,-150.0,10.8,0.24,-149.0
XAUUSDm,08-10,BREAK24,P1_24h2-25h1,321,50.0,38.3,1.26,-20.0
XAUUSDm,08-10,BREAK48,P1_24h2-25h1,222,59.0,41.9,1.46,-11.0
XAUUSDm,08-10,RETEST24,P1_24h2-25h1,397,-35.0,30.0,0.87,-48.0
XAUUSDm,08-10,RETEST48,P1_24h2-25h1,287,-43.0,27.9,0.79,-51.0
XAUUSDm,08-10,MOMEMA,P1_24h2-25h1,754,94.0,37.3,1.2,-18.0
XAUUSDm,08-10,EMACROSS,P1_24h2-25h1,105,-6.0,31.4,0.92,-17.0
XAUUSDm,08-10,RSI2,P1_24h2-25h1,340,-32.0,29.7,0.86,-65.0
XAUUSDm,08-10,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,08-10,VWAP,P1_24h2-25h1,159,42.0,42.1,1.46,-9.0
XAUUSDm,08-10,BBREV,P1_24h2-25h1,437,-10.0,32.5,0.97,-35.0
XAUUSDm,10-12,FVG,P1_24h2-25h1,234,-157.0,10.7,0.24,-159.0
XAUUSDm,10-12,BREAK24,P1_24h2-25h1,355,27.0,35.8,1.12,-31.0
XAUUSDm,10-12,BREAK48,P1_24h2-25h1,230,-13.0,31.3,0.92,-36.0
XAUUSDm,10-12,RETEST24,P1_24h2-25h1,423,-13.0,32.2,0.95,-45.0
XAUUSDm,10-12,RETEST48,P1_24h2-25h1,295,20.0,35.3,1.11,-18.0
XAUUSDm,10-12,MOMEMA,P1_24h2-25h1,783,58.0,35.5,1.12,-29.0
XAUUSDm,10-12,EMACROSS,P1_24h2-25h1,111,3.0,34.2,1.04,-10.0
XAUUSDm,10-12,RSI2,P1_24h2-25h1,372,-13.0,32.0,0.95,-34.0
XAUUSDm,10-12,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,10-12,VWAP,P1_24h2-25h1,155,25.0,38.7,1.26,-9.0
XAUUSDm,10-12,BBREV,P1_24h2-25h1,520,-25.0,31.5,0.93,-59.0
XAUUSDm,12-14,FVG,P1_24h2-25h1,306,-241.0,6.9,0.15,-240.0
XAUUSDm,12-14,BREAK24,P1_24h2-25h1,534,-64.0,29.2,0.83,-81.0
XAUUSDm,12-14,BREAK48,P1_24h2-25h1,406,-44.0,29.6,0.85,-51.0
XAUUSDm,12-14,RETEST24,P1_24h2-25h1,635,54.0,35.6,1.14,-22.0
XAUUSDm,12-14,RETEST48,P1_24h2-25h1,489,13.0,33.5,1.04,-28.0
XAUUSDm,12-14,MOMEMA,P1_24h2-25h1,970,-30.0,32.1,0.95,-64.0
XAUUSDm,12-14,EMACROSS,P1_24h2-25h1,159,13.0,35.8,1.13,-10.0
XAUUSDm,12-14,RSI2,P1_24h2-25h1,548,8.0,33.4,1.02,-24.0
XAUUSDm,12-14,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,12-14,VWAP,P1_24h2-25h1,247,-6.0,32.4,0.96,-24.0
XAUUSDm,12-14,BBREV,P1_24h2-25h1,748,49.0,35.0,1.1,-32.0
XAUUSDm,14-16,FVG,P1_24h2-25h1,243,-186.0,7.4,0.16,-185.0
XAUUSDm,14-16,BREAK24,P1_24h2-25h1,360,-5.0,32.2,0.98,-40.0
XAUUSDm,14-16,BREAK48,P1_24h2-25h1,300,-14.0,31.0,0.93,-32.0
XAUUSDm,14-16,RETEST24,P1_24h2-25h1,411,-6.0,32.4,0.98,-41.0
XAUUSDm,14-16,RETEST48,P1_24h2-25h1,342,-20.0,31.0,0.91,-47.0
XAUUSDm,14-16,MOMEMA,P1_24h2-25h1,742,61.0,35.6,1.13,-29.0
XAUUSDm,14-16,EMACROSS,P1_24h2-25h1,117,-5.0,31.6,0.94,-22.0
XAUUSDm,14-16,RSI2,P1_24h2-25h1,375,10.0,33.6,1.04,-37.0
XAUUSDm,14-16,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,14-16,VWAP,P1_24h2-25h1,159,-19.0,28.9,0.83,-24.0
XAUUSDm,14-16,BBREV,P1_24h2-25h1,415,49.0,37.1,1.19,-18.0
XAUUSDm,16-18,FVG,P1_24h2-25h1,204,-147.0,8.8,0.2,-146.0
XAUUSDm,16-18,BREAK24,P1_24h2-25h1,265,-63.0,25.3,0.68,-70.0
XAUUSDm,16-18,BREAK48,P1_24h2-25h1,151,-61.0,19.9,0.5,-62.0
XAUUSDm,16-18,RETEST24,P1_24h2-25h1,308,29.0,35.7,1.15,-20.0
XAUUSDm,16-18,RETEST48,P1_24h2-25h1,167,34.0,40.1,1.34,-12.0
XAUUSDm,16-18,MOMEMA,P1_24h2-25h1,622,-1.0,32.8,1.0,-41.0
XAUUSDm,16-18,EMACROSS,P1_24h2-25h1,90,14.0,37.8,1.26,-10.0
XAUUSDm,16-18,RSI2,P1_24h2-25h1,274,16.0,34.7,1.09,-27.0
XAUUSDm,16-18,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,16-18,VWAP,P1_24h2-25h1,89,13.0,38.2,1.24,-8.0
XAUUSDm,16-18,BBREV,P1_24h2-25h1,357,58.0,38.4,1.27,-20.0
XAUUSDm,18-20,FVG,P1_24h2-25h1,203,-158.0,7.4,0.16,-157.0
XAUUSDm,18-20,BREAK24,P1_24h2-25h1,296,-10.0,32.1,0.95,-49.0
XAUUSDm,18-20,BREAK48,P1_24h2-25h1,153,-14.0,30.1,0.87,-30.0
XAUUSDm,18-20,RETEST24,P1_24h2-25h1,352,-8.0,32.4,0.97,-33.0
XAUUSDm,18-20,RETEST48,P1_24h2-25h1,188,-16.0,30.3,0.88,-23.0
XAUUSDm,18-20,MOMEMA,P1_24h2-25h1,666,-17.0,32.3,0.96,-62.0
XAUUSDm,18-20,EMACROSS,P1_24h2-25h1,77,13.0,39.0,1.28,-11.0
XAUUSDm,18-20,RSI2,P1_24h2-25h1,327,43.0,37.6,1.21,-16.0
XAUUSDm,18-20,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,18-20,VWAP,P1_24h2-25h1,69,-17.0,24.6,0.67,-29.0
XAUUSDm,18-20,BBREV,P1_24h2-25h1,367,31.0,36.0,1.13,-17.0
XAUUSDm,20-22,FVG,P1_24h2-25h1,136,-64.0,17.6,0.43,-63.0
XAUUSDm,20-22,BREAK24,P1_24h2-25h1,177,49.0,42.4,1.49,-9.0
XAUUSDm,20-22,BREAK48,P1_24h2-25h1,113,2.0,33.6,1.03,-17.0
XAUUSDm,20-22,RETEST24,P1_24h2-25h1,194,21.0,36.6,1.17,-24.0
XAUUSDm,20-22,RETEST48,P1_24h2-25h1,127,43.0,44.1,1.62,-8.0
XAUUSDm,20-22,MOMEMA,P1_24h2-25h1,414,45.0,36.7,1.17,-34.0
XAUUSDm,20-22,EMACROSS,P1_24h2-25h1,55,-4.0,30.9,0.89,-11.0
XAUUSDm,20-22,RSI2,P1_24h2-25h1,197,19.0,36.5,1.15,-12.0
XAUUSDm,20-22,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,20-22,VWAP,P1_24h2-25h1,34,14.0,47.1,1.78,-5.0
XAUUSDm,20-22,BBREV,P1_24h2-25h1,204,41.0,39.7,1.34,-10.0
XAUUSDm,22-24,FVG,P1_24h2-25h1,212,-146.0,10.4,0.23,-146.0
XAUUSDm,22-24,BREAK24,P1_24h2-25h1,271,29.0,36.9,1.17,-23.0
XAUUSDm,22-24,BREAK48,P1_24h2-25h1,179,19.0,36.9,1.17,-12.0
XAUUSDm,22-24,RETEST24,P1_24h2-25h1,291,35.0,37.1,1.19,-19.0
XAUUSDm,22-24,RETEST48,P1_24h2-25h1,201,36.0,39.3,1.3,-12.0
XAUUSDm,22-24,MOMEMA,P1_24h2-25h1,577,-15.0,32.2,0.96,-48.0
XAUUSDm,22-24,EMACROSS,P1_24h2-25h1,81,-11.0,28.4,0.81,-21.0
XAUUSDm,22-24,RSI2,P1_24h2-25h1,283,0.0,33.2,1.0,-22.0
XAUUSDm,22-24,RSI14DIP,P1_24h2-25h1,0,0,0,0,0
XAUUSDm,22-24,VWAP,P1_24h2-25h1,138,-9.0,31.2,0.91,-29.0
XAUUSDm,22-24,BBREV,P1_24h2-25h1,344,-10.0,32.0,0.96,-25.0
XAUUSDm,00-02,FVG,P2_25h2-26e,157,-105.0,10.8,0.24,-106.0
XAUUSDm,00-02,BREAK24,P2_25h2-26e,294,1.0,33.3,1.01,-19.0
XAUUSDm,00-02,BREAK48,P2_25h2-26e,231,-9.0,32.0,0.94,-15.0
XAUUSDm,00-02,RETEST24,P2_25h2-26e,331,-23.0,30.8,0.9,-36.0
XAUUSDm,00-02,RETEST48,P2_25h2-26e,265,5.0,34.0,1.03,-19.0
XAUUSDm,00-02,MOMEMA,P2_25h2-26e,533,12.0,34.0,1.03,-26.0
XAUUSDm,00-02,EMACROSS,P2_25h2-26e,92,-23.0,25.0,0.67,-26.0
XAUUSDm,00-02,RSI2,P2_25h2-26e,316,-29.0,30.1,0.87,-39.0
XAUUSDm,00-02,RSI14DIP,P2_25h2-26e,0,0,0,0,0
XAUUSDm,00-02,VWAP,P2_25h2-26e,387,1.0,33.3,1.0,-27.0
XAUUSDm,00-02,BBREV,P2_25h2-26e,375,4.0,33.6,1.02,-30.0
XAUUSDm,02-04,FVG,P2_25h2-26e,144,-114.0,6.9,0.15,-115.0
XAUUSDm,02-04,BREAK24,P2_25h2-26e,178,-5.0,32.0,0.96,-18.0
XAUUSDm,02-04,BREAK48,P2_25h2-26e,124,4.0,33.9,1.05,-14.0
XAUUSDm,02-04,RETEST24,P2_25h2-26e,205,23.0,37.1,1.18,-16.0
XAUUSDm,02-04,RETEST48,P2_25h2-26e,155,22.0,38.1,1.23,-12.0
