activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,00-02,BREAK24,2.0,24,579,0.0,33.3,1.0,-47.0,299,-11.0,32.1,0.95,-28.0,266,31.0,36.8,1.19,-18.0
XAUUSDm,00-02,BREAK24,2.0,48,579,0.0,33.3,1.0,-47.0,299,-11.0,32.1,0.95,-28.0,266,34.0,37.6,1.2,-18.0
XAUUSDm,00-02,BREAK24,2.5,24,551,-3.0,28.3,0.99,-54.5,286,10.0,29.4,1.05,-30.0,254,52.5,34.3,1.32,-20.5
XAUUSDm,00-02,BREAK24,2.5,48,551,-1.5,28.5,1.0,-54.5,286,10.0,29.4,1.05,-30.0,254,54.0,34.6,1.33,-20.5
XAUUSDm,00-02,BREAK24,3.0,24,543,15.0,25.6,1.04,-51.0,273,17.0,26.4,1.09,-27.0,245,23.0,26.9,1.13,-21.0
XAUUSDm,00-02,BREAK24,3.0,48,543,13.0,25.6,1.03,-51.0,273,17.0,26.4,1.09,-27.0,245,27.0,27.8,1.15,-18.0
XAUUSDm,00-02,BREAK48,2.0,24,429,-21.0,31.7,0.93,-40.0,235,-16.0,31.1,0.9,-31.0,200,15.0,35.5,1.12,-20.0
XAUUSDm,00-02,BREAK48,2.0,48,429,-21.0,31.7,0.93,-40.0,235,-16.0,31.1,0.9,-31.0,200,19.0,36.5,1.15,-20.0
XAUUSDm,00-02,BREAK48,2.5,24,409,-19.5,27.1,0.93,-35.5,227,-6.5,27.8,0.96,-29.0,191,34.0,33.5,1.27,-20.0
XAUUSDm,00-02,BREAK48,2.5,48,409,-20.5,27.1,0.93,-35.5,227,-6.5,27.8,0.96,-29.0,191,36.5,34.0,1.29,-20.0
XAUUSDm,00-02,BREAK48,3.0,24,405,-7.0,24.4,0.98,-36.0,218,-6.0,24.3,0.96,-30.0,186,4.0,25.3,1.03,-21.0
XAUUSDm,00-02,BREAK48,3.0,48,405,-9.0,24.4,0.97,-36.0,218,-6.0,24.3,0.96,-30.0,186,6.0,25.8,1.04,-21.0
XAUUSDm,00-02,MOMEMA,2.0,24,985,89.0,36.3,1.14,-48.0,548,-1.0,33.2,1.0,-34.0,485,61.0,37.3,1.2,-18.0
XAUUSDm,00-02,MOMEMA,2.0,48,985,89.0,36.3,1.14,-48.0,548,1.0,33.4,1.0,-34.0,485,64.0,37.7,1.21,-18.0
XAUUSDm,00-02,MOMEMA,2.5,24,928,90.0,31.2,1.14,-50.0,517,34.0,30.2,1.1,-30.0,461,84.0,33.4,1.28,-20.5
XAUUSDm,00-02,MOMEMA,2.5,48,928,97.5,31.6,1.15,-50.0,517,41.5,30.8,1.12,-30.0,461,89.5,34.1,1.3,-20.5
XAUUSDm,00-02,MOMEMA,3.0,24,895,109.0,27.8,1.17,-59.0,489,54.0,27.4,1.16,-32.0,433,72.0,28.6,1.24,-19.0
XAUUSDm,00-02,MOMEMA,3.0,48,895,122.0,28.4,1.19,-59.0,489,62.0,28.0,1.18,-31.0,433,78.0,29.3,1.26,-19.0
XAUUSDm,00-02,EMACROSS,2.0,24,140,31.0,40.7,1.37,-9.0,92,-23.0,25.0,0.67,-29.0,80,14.0,38.8,1.29,-15.0
XAUUSDm,00-02,EMACROSS,2.0,48,140,31.0,40.7,1.37,-9.0,92,-23.0,25.0,0.67,-29.0,80,16.0,40.0,1.33,-13.0
XAUUSDm,00-02,EMACROSS,2.5,24,140,28.0,34.3,1.3,-17.0,92,-19.0,21.7,0.72,-29.0,80,12.0,32.5,1.23,-19.5
XAUUSDm,00-02,EMACROSS,2.5,48,140,28.0,34.3,1.3,-17.0,92,-20.0,21.7,0.71,-30.0,80,14.5,33.8,1.27,-17.0
XAUUSDm,00-02,EMACROSS,3.0,24,140,7.0,25.7,1.07,-26.0,92,-16.0,19.6,0.77,-30.0,80,6.0,26.2,1.11,-23.0
XAUUSDm,00-02,EMACROSS,3.0,48,140,12.0,27.1,1.12,-24.0,92,-18.0,19.6,0.75,-32.0,80,12.0,28.7,1.21,-20.0
XAUUSDm,00-02,RETEST24,2.0,24,608,-1.0,33.2,1.0,-40.0,339,-29.0,30.4,0.88,-38.0,305,-14.0,31.5,0.93,-29.0
XAUUSDm,00-02,RETEST24,2.0,48,608,-1.0,33.2,1.0,-40.0,339,-27.0,30.7,0.89,-38.0,305,-13.0,31.8,0.94,-29.0
XAUUSDm,00-02,RETEST24,2.5,24,595,12.5,29.1,1.03,-43.0,336,-26.0,26.2,0.89,-37.5,296,-11.0,27.0,0.95,-28.5
XAUUSDm,00-02,RETEST24,2.5,48,595,11.5,29.1,1.03,-43.0,336,-24.5,26.5,0.9,-38.5,296,-7.0,27.7,0.97,-29.5
XAUUSDm,00-02,RETEST24,3.0,24,587,21.0,25.7,1.05,-39.0,332,-2.0,24.7,0.99,-33.0,292,-14.0,23.3,0.94,-35.0
XAUUSDm,00-02,RETEST24,3.0,48,587,18.0,25.7,1.04,-41.0,332,-3.0,24.7,0.99,-34.0,292,-9.0,24.0,0.96,-36.0
XAUUSDm,00-02,RETEST48,2.0,24,456,4.0,33.6,1.01,-27.0,271,-7.0,32.5,0.96,-20.0,235,5.0,33.6,1.03,-19.0
