activo,franja,estrategia,IS_n,IS_pnlR,IS_win,IS_PF,IS_DD,OOS_n,OOS_pnlR,OOS_win,OOS_PF,OOS_DD
XAUUSDm,00-02,FVG,75,-56.0,8.0,0.18,-55.0,58,-46.0,6.9,0.15,-45.0
XAUUSDm,00-02,BREAK24,133,19.0,37.6,1.23,-16.0,126,34.0,42.1,1.47,-7.0
XAUUSDm,00-02,RETEST24,150,19.0,37.3,1.2,-9.0,143,-8.0,31.5,0.92,-16.0
XAUUSDm,00-02,MOMEMA,238,39.0,38.7,1.27,-12.0,223,57.0,41.7,1.44,-14.0
XAUUSDm,00-02,RSI2,144,-8.0,31.2,0.92,-25.0,140,-29.0,26.4,0.72,-33.0
XAUUSDm,00-02,VWAP,167,17.0,36.5,1.16,-14.0,172,-16.0,30.2,0.87,-27.0
XAUUSDm,02-04,FVG,59,-41.0,10.2,0.23,-41.0,44,-24.0,13.6,0.33,-26.0
XAUUSDm,02-04,BREAK24,65,-16.0,24.6,0.67,-21.0,67,0.0,32.8,1.0,-16.0
XAUUSDm,02-04,RETEST24,96,1.0,33.3,1.02,-11.0,92,-7.0,30.4,0.89,-18.0
XAUUSDm,02-04,MOMEMA,159,33.0,39.0,1.36,-11.0,151,26.0,39.1,1.28,-10.0
XAUUSDm,02-04,RSI2,70,11.0,38.6,1.26,-7.0,74,-9.0,28.4,0.82,-12.0
XAUUSDm,02-04,VWAP,61,-7.0,29.5,0.84,-12.0,42,13.0,42.9,1.57,-6.0
XAUUSDm,04-06,FVG,72,-58.0,5.6,0.12,-57.0,48,-27.0,14.6,0.34,-29.0
XAUUSDm,04-06,BREAK24,121,19.0,38.0,1.26,-9.0,89,5.0,34.8,1.09,-11.0
XAUUSDm,04-06,RETEST24,108,21.0,39.8,1.32,-14.0,115,9.0,35.7,1.12,-8.0
XAUUSDm,04-06,MOMEMA,228,43.0,39.0,1.32,-11.0,178,33.0,39.3,1.31,-15.0
XAUUSDm,04-06,RSI2,129,-5.0,31.8,0.94,-17.0,91,2.0,34.1,1.03,-15.0
XAUUSDm,04-06,VWAP,72,17.0,40.3,1.41,-7.0,52,8.0,38.5,1.25,-6.0
XAUUSDm,06-08,FVG,61,-39.0,11.5,0.26,-38.0,59,-53.0,3.4,0.07,-52.0
XAUUSDm,06-08,BREAK24,105,22.0,40.0,1.35,-6.0,78,-8.0,29.5,0.85,-13.0
XAUUSDm,06-08,RETEST24,124,-13.0,29.8,0.85,-17.0,92,-14.0,28.3,0.79,-23.0
XAUUSDm,06-08,MOMEMA,210,30.0,38.1,1.23,-21.0,180,-29.0,27.8,0.78,-48.0
XAUUSDm,06-08,RSI2,111,-2.0,32.4,0.97,-12.0,82,-3.0,31.7,0.95,-17.0
XAUUSDm,06-08,VWAP,67,9.0,37.3,1.22,-9.0,41,8.0,39.0,1.33,-5.0
XAUUSDm,08-10,FVG,59,-44.0,8.5,0.19,-48.0,45,-33.0,8.9,0.2,-34.0
XAUUSDm,08-10,BREAK24,81,-21.0,24.7,0.66,-30.0,83,-8.0,30.1,0.86,-15.0
XAUUSDm,08-10,RETEST24,118,11.0,36.4,1.15,-11.0,105,6.0,34.3,1.09,-11.0
