slot,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
04-06 BREAK48,2.0,24,233,25.0,36.9,1.17,-14.0,150,21.0,38.0,1.23,-10.0,114,21.0,39.5,1.3,-8.0
04-06 BREAK48,2.0,48,233,25.0,36.9,1.17,-14.0,150,21.0,38.0,1.23,-10.0,114,21.0,39.5,1.3,-8.0
04-06 BREAK48,2.5,24,222,40.5,33.8,1.28,-14.5,139,13.5,30.9,1.14,-18.0,107,40.0,39.3,1.62,-8.5
04-06 BREAK48,2.5,48,222,40.5,33.8,1.28,-14.5,139,11.5,30.9,1.12,-19.0,107,40.0,39.3,1.62,-8.5
04-06 BREAK48,3.0,24,208,57.0,31.7,1.4,-19.0,132,30.0,30.3,1.33,-11.0,101,47.0,36.6,1.73,-12.0
04-06 BREAK48,3.0,48,208,56.0,31.7,1.39,-19.0,132,28.0,30.3,1.3,-12.0,101,47.0,36.6,1.73,-12.0
04-06 BREAK24,2.0,24,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
04-06 BREAK24,2.0,48,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
04-06 BREAK24,2.5,24,380,50.5,32.4,1.2,-24.0,218,3.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
04-06 BREAK24,2.5,48,380,50.5,32.4,1.2,-24.0,218,2.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
04-06 BREAK24,3.0,24,363,62.0,29.2,1.24,-25.0,208,17.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
04-06 BREAK24,3.0,48,363,61.0,29.2,1.24,-25.0,208,16.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
04-06 MOMEMA,2.0,24,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 MOMEMA,2.0,48,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 MOMEMA,2.5,24,716,97.0,32.4,1.2,-42.5,429,-18.5,27.3,0.94,-53.0,385,66.5,33.5,1.26,-15.5
04-06 MOMEMA,2.5,48,716,99.5,32.5,1.21,-42.5,429,-16.0,27.5,0.95,-53.0,385,66.5,33.5,1.26,-15.5
04-06 MOMEMA,3.0,24,676,118.0,29.3,1.25,-40.0,410,-13.0,24.1,0.96,-60.0,369,80.0,30.4,1.31,-15.0
04-06 MOMEMA,3.0,48,676,124.0,29.6,1.26,-38.0,410,-10.0,24.4,0.97,-60.0,369,83.0,30.6,1.32,-15.0
04-06 B48+B24,2.0,24,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
04-06 B48+B24,2.0,48,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
04-06 B48+B24,2.5,24,380,50.5,32.4,1.2,-24.0,218,3.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
04-06 B48+B24,2.5,48,380,50.5,32.4,1.2,-24.0,218,2.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
04-06 B48+B24,3.0,24,363,62.0,29.2,1.24,-25.0,208,17.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
04-06 B48+B24,3.0,48,363,61.0,29.2,1.24,-25.0,208,16.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
04-06 B48+MOM,2.0,24,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 B48+MOM,2.0,48,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 B48+MOM,2.5,24,716,97.0,32.4,1.2,-42.5,429,-18.5,27.3,0.94,-53.0,385,66.5,33.5,1.26,-15.5
04-06 B48+MOM,2.5,48,716,99.5,32.5,1.21,-42.5,429,-16.0,27.5,0.95,-53.0,385,66.5,33.5,1.26,-15.5
04-06 B48+MOM,3.0,24,676,118.0,29.3,1.25,-40.0,410,-13.0,24.1,0.96,-60.0,369,80.0,30.4,1.31,-15.0
04-06 B48+MOM,3.0,48,676,124.0,29.6,1.26,-38.0,410,-10.0,24.4,0.97,-60.0,369,83.0,30.6,1.32,-15.0
04-06 TODO,2.0,24,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 TODO,2.0,48,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
04-06 TODO,2.5,24,716,97.0,32.4,1.2,-42.5,429,-18.5,27.3,0.94,-53.0,385,66.5,33.5,1.26,-15.5
04-06 TODO,2.5,48,716,99.5,32.5,1.21,-42.5,429,-16.0,27.5,0.95,-53.0,385,66.5,33.5,1.26,-15.5
04-06 TODO,3.0,24,676,118.0,29.3,1.25,-40.0,410,-13.0,24.1,0.96,-60.0,369,80.0,30.4,1.31,-15.0
04-06 TODO,3.0,48,676,124.0,29.6,1.26,-38.0,410,-10.0,24.4,0.97,-60.0,369,83.0,30.6,1.32,-15.0
16-18 EMACROSS,2.0,24,90,-6.0,30.0,0.9,-15.0,35,-5.0,25.7,0.78,-11.0,44,7.0,38.6,1.26,-5.0
16-18 EMACROSS,2.0,48,90,-9.0,30.0,0.86,-16.0,35,1.0,34.3,1.04,-8.0,44,7.0,38.6,1.26,-5.0
16-18 EMACROSS,2.5,24,90,-21.0,20.0,0.68,-28.5,35,-10.0,17.1,0.6,-12.5,44,2.0,27.3,1.07,-6.0
16-18 EMACROSS,2.5,48,90,-22.5,21.1,0.68,-30.0,35,-9.5,20.0,0.65,-12.0,44,2.5,29.5,1.08,-6.0
16-18 EMACROSS,3.0,24,90,-24.0,15.6,0.64,-34.0,35,-10.0,14.3,0.6,-10.0,44,1.0,22.7,1.03,-6.0
16-18 EMACROSS,3.0,48,90,-24.0,17.8,0.67,-34.0,35,-6.0,20.0,0.78,-11.0,44,1.0,25.0,1.03,-6.0
16-18 RETEST24,2.0,24,311,15.0,33.4,1.08,-31.0,201,26.0,36.3,1.22,-17.0,182,13.0,35.2,1.11,-16.0
16-18 RETEST24,2.0,48,311,21.0,35.4,1.11,-30.0,201,32.0,38.3,1.26,-13.0,182,19.0,36.8,1.17,-14.0
16-18 RETEST24,2.5,24,306,-1.5,25.8,0.99,-31.5,198,20.0,29.3,1.16,-16.5,182,0.5,26.9,1.0,-16.0
16-18 RETEST24,2.5,48,306,19.5,29.7,1.09,-26.5,198,37.0,33.3,1.29,-12.0,182,13.5,30.2,1.11,-12.0
16-18 RETEST24,3.0,24,305,-30.0,19.0,0.85,-42.0,197,-11.0,19.3,0.91,-24.0,178,-10.0,21.3,0.92,-29.0
16-18 RETEST24,3.0,48,305,-1.0,23.6,1.0,-25.0,197,30.0,27.4,1.23,-15.0,178,1.0,24.2,1.01,-23.0
16-18 RETEST48,2.0,24,168,17.0,35.1,1.17,-23.0,124,15.0,36.3,1.2,-17.0,100,13.0,37.0,1.21,-8.0
16-18 RETEST48,2.0,48,168,21.0,37.5,1.2,-23.0,124,18.0,37.9,1.24,-16.0,100,17.0,39.0,1.28,-8.0
16-18 RETEST48,2.5,24,168,11.5,28.0,1.11,-23.0,122,11.0,29.5,1.14,-17.5,100,13.5,31.0,1.21,-13.0
16-18 RETEST48,2.5,48,168,20.5,31.5,1.18,-22.0,122,14.0,31.1,1.17,-16.0,100,15.0,32.0,1.23,-11.5
16-18 RETEST48,3.0,24,168,-5.0,20.8,0.95,-30.0,122,-8.0,19.7,0.9,-19.0,98,3.0,23.5,1.05,-13.0
16-18 RETEST48,3.0,48,168,15.0,26.2,1.13,-20.0,122,7.0,24.6,1.08,-17.0,98,3.0,24.5,1.04,-12.0
16-18 R24+R48,2.0,24,318,17.0,33.6,1.09,-30.0,203,27.0,36.5,1.22,-17.0,182,16.0,35.7,1.14,-15.0
16-18 R24+R48,2.0,48,318,23.0,35.5,1.11,-29.0,203,33.0,38.4,1.27,-13.0,182,22.0,37.4,1.19,-13.0
16-18 R24+R48,2.5,24,313,2.0,26.2,1.01,-30.0,200,21.5,29.5,1.17,-16.5,182,4.0,27.5,1.03,-13.0
16-18 R24+R48,2.5,48,313,23.0,30.0,1.11,-25.0,200,38.5,33.5,1.3,-12.0,182,17.0,30.8,1.14,-11.0
16-18 R24+R48,3.0,24,312,-29.0,19.2,0.86,-41.0,199,-13.0,19.1,0.9,-24.0,177,-9.0,21.5,0.93,-28.0
16-18 R24+R48,3.0,48,312,0.0,23.7,1.0,-23.0,199,28.0,27.1,1.21,-15.0,177,2.0,24.3,1.02,-22.0
16-18 EMA+R24,2.0,24,350,5.0,32.3,1.02,-26.0,214,20.0,35.0,1.15,-15.0,198,17.0,35.9,1.14,-19.0
16-18 EMA+R24,2.0,48,350,9.0,34.0,1.04,-26.0,214,28.0,37.4,1.21,-13.0,198,21.0,36.9,1.17,-17.0
16-18 EMA+R24,2.5,24,342,-11.0,25.1,0.95,-31.5,210,5.5,27.1,1.04,-18.5,197,5.0,27.4,1.04,-18.0
16-18 EMA+R24,2.5,48,342,4.5,28.4,1.02,-23.5,210,19.0,30.5,1.13,-17.0,197,18.5,31.0,1.14,-14.5
16-18 EMA+R24,3.0,24,336,-40.0,18.5,0.82,-48.0,206,-17.0,18.9,0.87,-26.0,190,-1.0,22.6,0.99,-32.0
16-18 EMA+R24,3.0,48,336,-16.0,22.6,0.93,-33.0,206,18.0,25.7,1.13,-19.0,190,12.0,25.8,1.09,-30.0
22-24 BREAK48,2.0,24,183,1.0,33.3,1.01,-21.0,138,15.0,37.0,1.17,-8.0,153,24.0,38.6,1.26,-16.0
22-24 BREAK48,2.0,48,183,1.0,33.3,1.01,-21.0,138,15.0,37.0,1.17,-8.0,153,24.0,38.6,1.26,-16.0
22-24 BREAK48,2.5,24,176,10.5,30.1,1.09,-14.0,132,11.5,31.1,1.13,-12.0,148,27.0,33.8,1.28,-21.0
22-24 BREAK48,2.5,48,176,10.5,30.1,1.09,-14.0,132,11.5,31.1,1.13,-12.0,148,27.0,33.8,1.28,-21.0
22-24 BREAK48,3.0,24,170,16.0,27.1,1.13,-17.0,129,19.0,28.7,1.21,-17.0,144,41.0,31.9,1.42,-22.0
22-24 BREAK48,3.0,48,170,19.0,27.6,1.16,-17.0,129,19.0,28.7,1.21,-17.0,144,40.0,31.9,1.41,-22.0
22-24 BREAK24,2.0,24,278,-7.0,32.4,0.96,-37.0,191,10.0,35.1,1.08,-18.0,212,-2.0,33.0,0.99,-29.0
22-24 BREAK24,2.0,48,278,-7.0,32.4,0.96,-37.0,191,10.0,35.1,1.08,-18.0,212,-2.0,33.0,0.99,-29.0
22-24 BREAK24,2.5,24,267,3.5,28.8,1.02,-29.5,184,5.0,29.3,1.04,-18.5,207,-4.0,28.0,0.97,-35.5
22-24 BREAK24,2.5,48,267,3.5,28.8,1.02,-29.5,184,5.0,29.3,1.04,-18.5,207,-4.0,28.0,0.97,-35.5
22-24 BREAK24,3.0,24,257,9.0,25.7,1.05,-36.0,178,18.0,27.5,1.14,-23.0,201,12.0,26.4,1.08,-34.0
22-24 BREAK24,3.0,48,257,12.0,26.1,1.06,-36.0,178,18.0,27.5,1.14,-23.0,201,11.0,26.4,1.07,-34.0
