time,price,vwap,adx,signal
2026-08-09 17:00,64875.86,64960.95,19.2,NONE
2026-08-09 19:00,64825.02,64830.54,16.5,NONE
2026-08-09 21:00,65160.36,65120.76,15.8,NONE
2026-08-09 21:00,64945.93,65035.42,15.8,NONE
2026-08-09 23:00,64909.88,64990.86,15.1,NONE
2026-08-10 01:00,65098.85,65042.65,14.4,NONE
2026-08-10 03:00,65146.87,65080.75,14.8,NONE
2026-08-10 05:00,64902.46,65031.13,13.0,NONE
2026-08-10 07:00,65057.93,65051.37,12.1,NONE
2026-08-10 09:00,64507.95,64937.92,15.6,NONE
2026-08-10 11:00,64163.59,64841.93,18.5,NONE
2026-08-10 13:00,63910.02,64728.49,21.7,NONE
