activo,franja,estrat,periodo,n,pnlR,win,PF,DD
XAUUSDm,00-02,BREAK24,P1_24h2-25h1,566,47.0,35.9,1.13,-33.0
XAUUSDm,00-02,BREAK24,P2_25h2-26e,294,1.0,33.3,1.01,-19.0
XAUUSDm,00-02,BREAK24,P3_26f-26a,260,52.0,39.6,1.34,-16.0
XAUUSDm,00-02,MOMEMA,P1_24h2-25h1,958,107.0,37.0,1.18,-57.0
XAUUSDm,00-02,MOMEMA,P2_25h2-26e,533,12.0,34.0,1.03,-26.0
XAUUSDm,00-02,MOMEMA,P3_26f-26a,467,93.0,39.8,1.33,-14.0
XAUUSDm,02-04,MOMEMA,P1_24h2-25h1,703,118.0,38.5,1.28,-24.0
XAUUSDm,02-04,MOMEMA,P2_25h2-26e,398,17.0,34.4,1.07,-33.0
XAUUSDm,02-04,MOMEMA,P3_26f-26a,314,61.0,39.2,1.33,-11.0
XAUUSDm,04-06,MOMEMA,P1_24h2-25h1,762,85.0,36.9,1.18,-26.0
XAUUSDm,04-06,MOMEMA,P2_25h2-26e,458,53.0,36.9,1.19,-19.0
XAUUSDm,04-06,MOMEMA,P3_26f-26a,413,75.0,39.0,1.3,-17.0
XAUUSDm,04-06,VWAP,P1_24h2-25h1,184,15.0,35.9,1.13,-13.0
XAUUSDm,04-06,VWAP,P2_25h2-26e,103,21.0,39.8,1.34,-9.0
XAUUSDm,04-06,VWAP,P3_26f-26a,127,28.0,40.2,1.38,-7.0
XAUUSDm,06-08,VWAP,P1_24h2-25h1,231,43.0,39.4,1.31,-13.0
XAUUSDm,06-08,VWAP,P2_25h2-26e,132,7.0,34.8,1.08,-12.0
XAUUSDm,06-08,VWAP,P3_26f-26a,113,18.0,38.1,1.26,-9.0
XAUUSDm,14-16,VWAP,P1_24h2-25h1,159,-19.0,28.9,0.83,-24.0
XAUUSDm,14-16,VWAP,P2_25h2-26e,105,0.0,33.3,1.0,-20.0
XAUUSDm,14-16,VWAP,P3_26f-26a,70,21.0,42.9,1.54,-7.0
BTCUSDm,00-02,VWAP,P1_24h2-25h1,875,51.0,35.0,1.09,-60.0
BTCUSDm,00-02,VWAP,P2_25h2-26e,543,58.0,36.5,1.17,-16.0
BTCUSDm,00-02,VWAP,P3_26f-26a,450,71.0,38.4,1.26,-20.0
BTCUSDm,02-04,BREAK24,P1_24h2-25h1,398,7.0,33.9,1.03,-26.0
BTCUSDm,02-04,BREAK24,P2_25h2-26e,300,4.0,33.7,1.02,-24.0
BTCUSDm,02-04,BREAK24,P3_26f-26a,209,23.0,36.8,1.18,-20.0
BTCUSDm,04-06,MOMEMA,P1_24h2-25h1,990,90.0,36.0,1.14,-26.0
BTCUSDm,04-06,MOMEMA,P2_25h2-26e,627,56.0,36.0,1.14,-32.0
BTCUSDm,04-06,MOMEMA,P3_26f-26a,520,108.0,40.0,1.35,-17.0
BTCUSDm,06-08,BREAK24,P1_24h2-25h1,547,16.0,34.2,1.04,-31.0
BTCUSDm,06-08,BREAK24,P2_25h2-26e,304,-18.0,31.2,0.91,-44.0
BTCUSDm,06-08,BREAK24,P3_26f-26a,256,33.0,37.1,1.21,-16.0
BTCUSDm,08-10,MOMEMA,P1_24h2-25h1,1111,44.0,34.4,1.06,-29.0
BTCUSDm,08-10,MOMEMA,P2_25h2-26e,675,22.0,34.4,1.05,-51.0
BTCUSDm,08-10,MOMEMA,P3_26f-26a,557,124.0,40.6,1.38,-15.0
BTCUSDm,10-12,VWAP,P1_24h2-25h1,207,-17.0,30.4,0.88,-26.0
BTCUSDm,10-12,VWAP,P2_25h2-26e,114,-12.0,29.8,0.85,-23.0
BTCUSDm,10-12,VWAP,P3_26f-26a,109,18.0,38.5,1.27,-18.0
BTCUSDm,16-18,RSI2,P1_24h2-25h1,453,7.0,33.6,1.02,-35.0
BTCUSDm,16-18,RSI2,P2_25h2-26e,278,27.0,36.0,1.16,-20.0
BTCUSDm,16-18,RSI2,P3_26f-26a,219,37.0,37.9,1.29,-14.0
BTCUSDm,18-20,VWAP,P1_24h2-25h1,120,19.0,38.3,1.26,-11.0
BTCUSDm,18-20,VWAP,P2_25h2-26e,77,26.0,44.2,1.62,-8.0
BTCUSDm,18-20,VWAP,P3_26f-26a,58,12.0,39.7,1.35,-5.0
BTCUSDm,20-22,RSI2,P1_24h2-25h1,478,-1.0,33.1,1.0,-31.0
BTCUSDm,20-22,RSI2,P2_25h2-26e,261,15.0,34.9,1.09,-24.0
BTCUSDm,20-22,RSI2,P3_26f-26a,222,55.0,41.4,1.43,-12.0
